id,herbal_id,kondisi,status,keterangan
79,76,-,belum ada data yang ditemukan,belum ada data yang ditemukan
80,77,-,belum ada data yang ditemukan,belum ada data yang ditemukan
81,78,-,belum ada data yang ditemukan,belum ada data yang ditemukan
82,79,-,belum ada data yang ditemukan,belum ada data yang ditemukan
83,80,-,belum ada data yang ditemukan,belum ada data yang ditemukan
84,81,-,belum ada data yang ditemukan,belum ada data yang ditemukan
85,82,-,belum ada data yang ditemukan,belum ada data yang ditemukan
86,83,-,belum ada data yang ditemukan,belum ada data yang ditemukan
87,84,-,belum ada data yang ditemukan,belum ada data yang ditemukan
88,85,Radang Usus & Apendisitis (Usus Buntu),Kontraindikasi Mayor,Efek: Eksaserbasi peradangan dan nyeri hebat. Mekanisme: Efek iritasi dari senyawa antrakuinon klembak memaksa usus yang sedang meradang untuk melakukan peristaltik yang sangat kuat.
89,86,-,belum ada data yang ditemukan,belum ada data yang ditemukan
90,87,-,belum ada data yang ditemukan,belum ada data yang ditemukan
91,88,-,belum ada data yang ditemukan,belum ada data yang ditemukan
92,89,-,belum ada data yang ditemukan,belum ada data yang ditemukan
93,90,-,belum ada data yang ditemukan,belum ada data yang ditemukan
94,91,Kehamilan,Peringatan / Kontraindikasi,Efek: Risiko kontraksi prematur. Mekanisme: Getah/enzim papain mentah dalam konsentrasi tinggi dapat bertindak seperti prostaglandin dan oksitosin yang merangsang rahim.
95,92,-,belum ada data yang ditemukan,belum ada data yang ditemukan
96,93,-,belum ada data yang ditemukan,belum ada data yang ditemukan
97,94,-,belum ada data yang ditemukan,belum ada data yang ditemukan
98,95,-,belum ada data yang ditemukan,belum ada data yang ditemukan
99,96,-,belum ada data yang ditemukan,belum ada data yang ditemukan
100,97,-,belum ada data yang ditemukan,belum ada data yang ditemukan
101,98,-,belum ada data yang ditemukan,belum ada data yang ditemukan
102,99,-,belum ada data yang ditemukan,belum ada data yang ditemukan
103,100,-,belum ada data yang ditemukan,belum ada data yang ditemukan
104,101,Gangguan Pendarahan & Pra-Operasi,Kontraindikasi,Efek: Pendarahan spontan atau pendarahan masif saat pembedahan. Mekanisme: Ginkgo menghambat Platelet-Activating Factor (PAF) sehingga darah sulit membeku. Wajib distop 2 minggu sebelum operasi.
105,101,Epilepsi / Riwayat Kejang,Peringatan,Efek: Memicu serangan kejang. Mekanisme: Biji ginkgo (dan terkadang ekstrak daun yang tidak murni) mengandung ginkgotoxin yang menurunkan ambang batas kejang di otak.
106,102,-,belum ada data yang ditemukan,belum ada data yang ditemukan
107,103,-,belum ada data yang ditemukan,belum ada data yang ditemukan
108,104,-,belum ada data yang ditemukan,belum ada data yang ditemukan
109,105,-,belum ada data yang ditemukan,belum ada data yang ditemukan
110,106,-,belum ada data yang ditemukan,belum ada data yang ditemukan
111,107,-,belum ada data yang ditemukan,belum ada data yang ditemukan
112,108,"Penyakit Autoimun (Lupus, Multiple Sclerosis, RA)",Kontraindikasi,"Efek: Memperburuk gejala inflamasi autoimun (flare-up). Mekanisme: Echinacea adalah imunostimulan yang merangsang sel T dan makrofag, sehingga memperkuat sistem imun yang justru sedang menyerang jaringan tubuh sendiri."
113,108,TBC (Tuberkulosis) & HIV/AIDS,Kontraindikasi,Efek: Progresi penyakit tidak terprediksi. Mekanisme: Stimulasi imun pada pasien dengan infeksi kronis sistemik yang merusak sel darah putih dapat memperburuk viral/bacterial load secara paradoksikal.
114,109,-,belum ada data yang ditemukan,belum ada data yang ditemukan
115,110,-,belum ada data yang ditemukan,belum ada data yang ditemukan
116,111,-,belum ada data yang ditemukan,belum ada data yang ditemukan
117,112,Gangguan Bipolar & Skizofrenia,Kontraindikasi Mayor,"Efek: Memicu episode mania atau psikosis akut. Mekanisme: St. John's Wort bertindak sebagai inhibitor reuptake monoamine, meningkatkan kadar serotonin, dopamin, dan norepinefrin di otak yang memicu disregulasi mood parah pada pasien bipolar."
118,112,Sensitivitas Cahaya Matahari (Fotosensitivitas),Peringatan,"Efek: Reaksi fototoksik (kulit melepuh terbakar matahari). Mekanisme: Senyawa hypericin dosis tinggi menumpuk di kulit dan bereaksi dengan sinar UV, menyebabkan kerusakan oksidatif pada jaringan kulit."
119,113,-,belum ada data yang ditemukan,belum ada data yang ditemukan
120,114,-,belum ada data yang ditemukan,belum ada data yang ditemukan
121,115,-,belum ada data yang ditemukan,belum ada data yang ditemukan
122,116,-,belum ada data yang ditemukan,belum ada data yang ditemukan
123,117,-,belum ada data yang ditemukan,belum ada data yang ditemukan
124,118,-,belum ada data yang ditemukan,belum ada data yang ditemukan
125,119,-,belum ada data yang ditemukan,belum ada data yang ditemukan
126,120,-,belum ada data yang ditemukan,belum ada data yang ditemukan
127,121,-,belum ada data yang ditemukan,belum ada data yang ditemukan
128,122,"Gangguan Hati (Hepatitis, Sirosis)",Peringatan Keras,Efek: Hepatotoksisitas mematikan (pada dosis ekstrak tinggi). Mekanisme: Konsentrasi katekin EGCG murni yang sangat tinggi bersifat hepatotoksik dan dapat memicu gagal hati akut pada individu dengan enzim liver yang sudah terganggu.
129,122,Glaukoma,Kontraindikasi,Efek: Peningkatan tekanan intraokular (TIO). Mekanisme: Kandungan kafein dapat memicu penyempitan pembuluh darah okular yang menyebabkan tekanan cairan di dalam bola mata naik selama beberapa jam.
130,123,-,belum ada data yang ditemukan,belum ada data yang ditemukan
131,124,-,belum ada data yang ditemukan,belum ada data yang ditemukan
132,125,-,belum ada data yang ditemukan,belum ada data yang ditemukan
133,126,-,belum ada data yang ditemukan,belum ada data yang ditemukan
134,127,-,belum ada data yang ditemukan,belum ada data yang ditemukan
135,128,-,belum ada data yang ditemukan,belum ada data yang ditemukan
136,129,-,belum ada data yang ditemukan,belum ada data yang ditemukan
137,130,-,belum ada data yang ditemukan,belum ada data yang ditemukan
138,131,-,belum ada data yang ditemukan,belum ada data yang ditemukan
139,132,-,belum ada data yang ditemukan,belum ada data yang ditemukan
140,133,-,belum ada data yang ditemukan,belum ada data yang ditemukan
141,134,-,belum ada data yang ditemukan,belum ada data yang ditemukan
142,135,-,belum ada data yang ditemukan,belum ada data yang ditemukan
143,136,-,belum ada data yang ditemukan,belum ada data yang ditemukan
144,137,-,belum ada data yang ditemukan,belum ada data yang ditemukan
145,138,-,belum ada data yang ditemukan,belum ada data yang ditemukan
146,139,-,belum ada data yang ditemukan,belum ada data yang ditemukan
147,140,-,belum ada data yang ditemukan,belum ada data yang ditemukan
148,141,-,belum ada data yang ditemukan,belum ada data yang ditemukan
149,142,-,belum ada data yang ditemukan,belum ada data yang ditemukan
150,143,-,belum ada data yang ditemukan,belum ada data yang ditemukan
151,144,-,belum ada data yang ditemukan,belum ada data yang ditemukan
152,145,-,belum ada data yang ditemukan,belum ada data yang ditemukan
153,146,-,belum ada data yang ditemukan,belum ada data yang ditemukan
154,147,-,belum ada data yang ditemukan,belum ada data yang ditemukan
155,148,-,belum ada data yang ditemukan,belum ada data yang ditemukan
156,149,-,belum ada data yang ditemukan,belum ada data yang ditemukan
157,150,-,belum ada data yang ditemukan,belum ada data yang ditemukan
158,151,-,belum ada data yang ditemukan,belum ada data yang ditemukan
159,152,-,belum ada data yang ditemukan,belum ada data yang ditemukan
160,153,-,belum ada data yang ditemukan,belum ada data yang ditemukan
161,154,-,belum ada data yang ditemukan,belum ada data yang ditemukan
162,155,"Obstruksi Usus, Apendisitis, & Penyakit Crohn",Kontraindikasi Fatal,"Efek: Nyeri hebat, perdarahan internal, hingga perforasi (kebocoran) usus. Mekanisme: Senna merangsang kontraksi otot dinding usus secara paksa (laksatif stimulan). Hal ini sangat berbahaya jika ada sumbatan fisik atau luka inflamasi akut di saluran cerna."
163,156,-,belum ada data yang ditemukan,belum ada data yang ditemukan
164,157,-,belum ada data yang ditemukan,belum ada data yang ditemukan
165,158,-,belum ada data yang ditemukan,belum ada data yang ditemukan
166,159,-,belum ada data yang ditemukan,belum ada data yang ditemukan
167,160,-,belum ada data yang ditemukan,belum ada data yang ditemukan
168,161,-,belum ada data yang ditemukan,belum ada data yang ditemukan
169,162,-,belum ada data yang ditemukan,belum ada data yang ditemukan
170,163,-,belum ada data yang ditemukan,belum ada data yang ditemukan
171,164,-,belum ada data yang ditemukan,belum ada data yang ditemukan
172,165,-,belum ada data yang ditemukan,belum ada data yang ditemukan
173,166,-,belum ada data yang ditemukan,belum ada data yang ditemukan
174,167,-,belum ada data yang ditemukan,belum ada data yang ditemukan
175,168,-,belum ada data yang ditemukan,belum ada data yang ditemukan
176,169,-,belum ada data yang ditemukan,belum ada data yang ditemukan
177,170,-,belum ada data yang ditemukan,belum ada data yang ditemukan
178,171,-,belum ada data yang ditemukan,belum ada data yang ditemukan
179,172,-,belum ada data yang ditemukan,belum ada data yang ditemukan
180,173,-,belum ada data yang ditemukan,belum ada data yang ditemukan
181,174,-,belum ada data yang ditemukan,belum ada data yang ditemukan
182,175,-,belum ada data yang ditemukan,belum ada data yang ditemukan
183,176,-,belum ada data yang ditemukan,belum ada data yang ditemukan
184,177,-,belum ada data yang ditemukan,belum ada data yang ditemukan
185,178,-,belum ada data yang ditemukan,belum ada data yang ditemukan
186,179,-,belum ada data yang ditemukan,belum ada data yang ditemukan
187,180,-,belum ada data yang ditemukan,belum ada data yang ditemukan
188,181,-,belum ada data yang ditemukan,belum ada data yang ditemukan
189,182,-,belum ada data yang ditemukan,belum ada data yang ditemukan
190,183,-,belum ada data yang ditemukan,belum ada data yang ditemukan
191,184,-,belum ada data yang ditemukan,belum ada data yang ditemukan
192,185,"Hipertensi, Gagal Jantung, & Hipokalemia",Kontraindikasi Mayor,"Efek: Peningkatan tekanan darah drastis, edema (bengkak air paru/kaki), dan gangguan irama jantung (aritmia). Mekanisme: Glycyrrhizin memicu sindrom pseudoaldosteronisme yang memaksa ginjal untuk menahan natrium dan air secara masif, sekaligus membuang kalium berharga dari tubuh."
193,186,-,belum ada data yang ditemukan,belum ada data yang ditemukan
194,187,-,belum ada data yang ditemukan,belum ada data yang ditemukan
195,188,-,belum ada data yang ditemukan,belum ada data yang ditemukan
196,189,-,belum ada data yang ditemukan,belum ada data yang ditemukan
197,190,-,belum ada data yang ditemukan,belum ada data yang ditemukan
198,191,-,belum ada data yang ditemukan,belum ada data yang ditemukan
199,192,-,belum ada data yang ditemukan,belum ada data yang ditemukan
200,193,-,belum ada data yang ditemukan,belum ada data yang ditemukan
201,194,-,belum ada data yang ditemukan,belum ada data yang ditemukan
202,195,-,belum ada data yang ditemukan,belum ada data yang ditemukan
203,196,-,belum ada data yang ditemukan,belum ada data yang ditemukan
204,197,-,belum ada data yang ditemukan,belum ada data yang ditemukan
205,198,-,belum ada data yang ditemukan,belum ada data yang ditemukan
206,199,-,belum ada data yang ditemukan,belum ada data yang ditemukan
207,200,-,belum ada data yang ditemukan,belum ada data yang ditemukan
208,201,"Penyakit Hati (Hepatitis, Sirosis) & Depresi SSP",Kontraindikasi Fatal,Efek: Kerusakan hati parah (hepatotoksisitas) hingga gagal hati akut. Mekanisme: Senyawa kavalactones dilaporkan sangat toksik terhadap sel hepatosit (liver) pada beberapa individu. Dilarang keras bagi penderita penyakit hati.
209,202,-,belum ada data yang ditemukan,belum ada data yang ditemukan
210,203,-,belum ada data yang ditemukan,belum ada data yang ditemukan
211,204,-,belum ada data yang ditemukan,belum ada data yang ditemukan
212,205,-,belum ada data yang ditemukan,belum ada data yang ditemukan
213,206,-,belum ada data yang ditemukan,belum ada data yang ditemukan
214,207,-,belum ada data yang ditemukan,belum ada data yang ditemukan
215,208,-,belum ada data yang ditemukan,belum ada data yang ditemukan
216,209,-,belum ada data yang ditemukan,belum ada data yang ditemukan
217,210,-,belum ada data yang ditemukan,belum ada data yang ditemukan
218,211,-,belum ada data yang ditemukan,belum ada data yang ditemukan
219,212,-,belum ada data yang ditemukan,belum ada data yang ditemukan
220,213,-,belum ada data yang ditemukan,belum ada data yang ditemukan
221,214,-,belum ada data yang ditemukan,belum ada data yang ditemukan
222,215,Alergi Serbuk Sari (Keluarga Asteraceae/Compositae),Kontraindikasi,"Efek: Reaksi alergi parah (anafilaksis), ruam kulit, hingga sesak napas. Mekanisme: Chamomile berkerabat dengan ragweed, krisan, dan marigold. Individu yang alergi terhadap tanaman tersebut memiliki risiko tinggi mengalami reaksi silang (cross-reactivity) saat mengonsumsi chamomile."
223,216,-,belum ada data yang ditemukan,belum ada data yang ditemukan
224,217,-,belum ada data yang ditemukan,belum ada data yang ditemukan
225,218,-,belum ada data yang ditemukan,belum ada data yang ditemukan
226,219,-,belum ada data yang ditemukan,belum ada data yang ditemukan
227,220,-,belum ada data yang ditemukan,belum ada data yang ditemukan
228,221,-,belum ada data yang ditemukan,belum ada data yang ditemukan
229,222,-,belum ada data yang ditemukan,belum ada data yang ditemukan
230,223,-,belum ada data yang ditemukan,belum ada data yang ditemukan
231,224,-,belum ada data yang ditemukan,belum ada data yang ditemukan
232,225,-,belum ada data yang ditemukan,belum ada data yang ditemukan
233,226,-,belum ada data yang ditemukan,belum ada data yang ditemukan
234,227,-,belum ada data yang ditemukan,belum ada data yang ditemukan
235,228,-,belum ada data yang ditemukan,belum ada data yang ditemukan
236,229,-,belum ada data yang ditemukan,belum ada data yang ditemukan
237,230,"Obstruksi Usus, Radang Usus Buntu (Apendisitis), Nyeri Perut Akut",Kontraindikasi Fatal,"Efek: Perforasi (kebocoran) usus yang mengancam nyawa. Mekanisme: Senna memaksa otot dinding usus untuk berkontraksi sangat keras. Jika ada sumbatan fisik atau radang usus buntu yang meradang akut, tekanan paksa ini bisa memicu robeknya dinding usus."
238,231,-,belum ada data yang ditemukan,belum ada data yang ditemukan
239,232,-,belum ada data yang ditemukan,belum ada data yang ditemukan
240,233,-,belum ada data yang ditemukan,belum ada data yang ditemukan
241,234,-,belum ada data yang ditemukan,belum ada data yang ditemukan
242,235,-,belum ada data yang ditemukan,belum ada data yang ditemukan
243,236,-,belum ada data yang ditemukan,belum ada data yang ditemukan
244,237,-,belum ada data yang ditemukan,belum ada data yang ditemukan
245,238,-,belum ada data yang ditemukan,belum ada data yang ditemukan
246,239,-,belum ada data yang ditemukan,belum ada data yang ditemukan
247,240,-,belum ada data yang ditemukan,belum ada data yang ditemukan
248,241,-,belum ada data yang ditemukan,belum ada data yang ditemukan
249,242,-,belum ada data yang ditemukan,belum ada data yang ditemukan
250,243,-,belum ada data yang ditemukan,belum ada data yang ditemukan
251,244,-,belum ada data yang ditemukan,belum ada data yang ditemukan
252,245,Hipertensi Tidak Terkontrol & Insomnia Berat,Peringatan Keras,"Efek: Sindrom penyalahgunaan ginseng (Lonjakan tekanan darah, insomnia, ruam kulit, dan agitasi). Mekanisme: Ginsenoside memiliki efek stimulasi pada sistem saraf pusat dan kardiovaskular, yang secara langsung dapat memperburuk keluhan tekanan darah dan ritme tidur."
253,246,-,belum ada data yang ditemukan,belum ada data yang ditemukan
254,247,-,belum ada data yang ditemukan,belum ada data yang ditemukan
255,248,-,belum ada data yang ditemukan,belum ada data yang ditemukan
256,249,-,belum ada data yang ditemukan,belum ada data yang ditemukan
257,250,-,belum ada data yang ditemukan,belum ada data yang ditemukan
258,251,-,belum ada data yang ditemukan,belum ada data yang ditemukan
259,252,-,belum ada data yang ditemukan,belum ada data yang ditemukan
260,253,-,belum ada data yang ditemukan,belum ada data yang ditemukan
261,254,-,belum ada data yang ditemukan,belum ada data yang ditemukan
262,255,-,belum ada data yang ditemukan,belum ada data yang ditemukan
263,256,-,belum ada data yang ditemukan,belum ada data yang ditemukan
264,257,-,belum ada data yang ditemukan,belum ada data yang ditemukan
265,258,-,belum ada data yang ditemukan,belum ada data yang ditemukan
266,259,-,belum ada data yang ditemukan,belum ada data yang ditemukan
267,260,Aritmia Jantung & Gangguan Kecemasan (Anxiety Disorders),Kontraindikasi,"Efek: Palpitasi jantung (debar jantung tak beraturan) dan memicu serangan panik akut. Mekanisme: Kafein menstimulasi reseptor sistem saraf simpatik secara kuat dan memblokir reseptor adenosin, memicu lonjakan adrenalin yang berbahaya bagi jantung tidak stabil dan penderita panik."
268,261,-,belum ada data yang ditemukan,belum ada data yang ditemukan
269,262,-,belum ada data yang ditemukan,belum ada data yang ditemukan
270,263,-,belum ada data yang ditemukan,belum ada data yang ditemukan
271,264,-,belum ada data yang ditemukan,belum ada data yang ditemukan
272,265,-,belum ada data yang ditemukan,belum ada data yang ditemukan
273,266,-,belum ada data yang ditemukan,belum ada data yang ditemukan
274,267,-,belum ada data yang ditemukan,belum ada data yang ditemukan
275,268,-,belum ada data yang ditemukan,belum ada data yang ditemukan
276,269,-,belum ada data yang ditemukan,belum ada data yang ditemukan
277,270,-,belum ada data yang ditemukan,belum ada data yang ditemukan
278,271,-,belum ada data yang ditemukan,belum ada data yang ditemukan
279,272,-,belum ada data yang ditemukan,belum ada data yang ditemukan
280,273,-,belum ada data yang ditemukan,belum ada data yang ditemukan
281,274,-,belum ada data yang ditemukan,belum ada data yang ditemukan
282,275,Persiapan Operasi Medis (Anestesi Umum),Kontraindikasi,"Efek: Pasien sulit dibangunkan pasca-operasi atau mengalami depresi pusat pernapasan. Mekanisme: Asam valerenat mempotensiasi jalur reseptor GABA di otak, yang bersinergi secara ekstrem dengan obat bius umum. Konsumsi wajib distop 14 hari sebelum pembedahan."
283,276,-,belum ada data yang ditemukan,belum ada data yang ditemukan
284,277,-,belum ada data yang ditemukan,belum ada data yang ditemukan
285,278,-,belum ada data yang ditemukan,belum ada data yang ditemukan
286,279,-,belum ada data yang ditemukan,belum ada data yang ditemukan
287,280,-,belum ada data yang ditemukan,belum ada data yang ditemukan
288,281,-,belum ada data yang ditemukan,belum ada data yang ditemukan
289,282,-,belum ada data yang ditemukan,belum ada data yang ditemukan
290,283,-,belum ada data yang ditemukan,belum ada data yang ditemukan
291,284,-,belum ada data yang ditemukan,belum ada data yang ditemukan
292,285,-,belum ada data yang ditemukan,belum ada data yang ditemukan
293,286,-,belum ada data yang ditemukan,belum ada data yang ditemukan
294,287,-,belum ada data yang ditemukan,belum ada data yang ditemukan
295,288,-,belum ada data yang ditemukan,belum ada data yang ditemukan
296,289,-,belum ada data yang ditemukan,belum ada data yang ditemukan
297,290,Hipertiroidisme (Kelebihan Hormon Tiroid),Kontraindikasi,"Efek: Memperburuk gejala hipertiroid seperti jantung berdebar cepat, tremor, dan penurunan berat badan drastis. Mekanisme: Ashwagandha diketahui dapat merangsang kelenjar tiroid secara independen untuk memproduksi lebih banyak hormon tiroid (T3 dan T4)."
298,291,-,belum ada data yang ditemukan,belum ada data yang ditemukan
299,292,-,belum ada data yang ditemukan,belum ada data yang ditemukan
300,293,-,belum ada data yang ditemukan,belum ada data yang ditemukan
301,294,-,belum ada data yang ditemukan,belum ada data yang ditemukan
302,295,-,belum ada data yang ditemukan,belum ada data yang ditemukan
303,296,-,belum ada data yang ditemukan,belum ada data yang ditemukan
304,297,-,belum ada data yang ditemukan,belum ada data yang ditemukan
305,298,-,belum ada data yang ditemukan,belum ada data yang ditemukan
306,299,-,belum ada data yang ditemukan,belum ada data yang ditemukan
307,300,-,belum ada data yang ditemukan,belum ada data yang ditemukan
