id,herbal_id,kelompok,status,alasan
20,19,Ibu Hamil & Anak-anak,Kontraindikasi,"Getah lateks lidah buaya menyebabkan kram perut dan diare mematikan pada anak, serta merangsang kontraksi rahim pada ibu hamil."
21,20,Ibu Hamil & Menyusui,Kontraindikasi,Sifat sitotoksik dari senyawa aktifnya dapat mengganggu perkembangan organ janin dan belum teruji aman untuk diekskresikan lewat ASI.
22,21,Ibu Hamil,Kontraindikasi Fatal,Mengandung senyawa momorcharin yang secara ilmiah terbukti bersifat abortifacient (dapat menggugurkan kandungan).
23,22,-,belum ada data yang ditemukan,belum ada data yang ditemukan
24,23,-,belum ada data yang ditemukan,belum ada data yang ditemukan
25,24,-,belum ada data yang ditemukan,belum ada data yang ditemukan
26,25,-,belum ada data yang ditemukan,belum ada data yang ditemukan
27,26,-,belum ada data yang ditemukan,belum ada data yang ditemukan
28,27,Ibu Hamil,Peringatan,"Penggunaan dalam porsi bumbu makanan tergolong aman, namun ekstrak dosis terapi dapat menstimulasi kontraksi rahim."
29,28,-,belum ada data yang ditemukan,belum ada data yang ditemukan
30,29,-,belum ada data yang ditemukan,belum ada data yang ditemukan
31,30,-,belum ada data yang ditemukan,belum ada data yang ditemukan
32,31,-,belum ada data yang ditemukan,belum ada data yang ditemukan
33,32,-,belum ada data yang ditemukan,belum ada data yang ditemukan
34,33,-,belum ada data yang ditemukan,belum ada data yang ditemukan
35,34,-,belum ada data yang ditemukan,belum ada data yang ditemukan
36,35,-,belum ada data yang ditemukan,belum ada data yang ditemukan
37,36,-,belum ada data yang ditemukan,belum ada data yang ditemukan
38,37,-,belum ada data yang ditemukan,belum ada data yang ditemukan
39,38,-,belum ada data yang ditemukan,belum ada data yang ditemukan
40,39,-,belum ada data yang ditemukan,belum ada data yang ditemukan
41,40,-,belum ada data yang ditemukan,belum ada data yang ditemukan
42,41,-,belum ada data yang ditemukan,belum ada data yang ditemukan
43,42,-,belum ada data yang ditemukan,belum ada data yang ditemukan
44,43,-,belum ada data yang ditemukan,belum ada data yang ditemukan
45,44,-,belum ada data yang ditemukan,belum ada data yang ditemukan
46,45,-,belum ada data yang ditemukan,belum ada data yang ditemukan
47,46,-,belum ada data yang ditemukan,belum ada data yang ditemukan
48,47,-,belum ada data yang ditemukan,belum ada data yang ditemukan
49,48,-,belum ada data yang ditemukan,belum ada data yang ditemukan
50,49,-,belum ada data yang ditemukan,belum ada data yang ditemukan
51,50,-,belum ada data yang ditemukan,belum ada data yang ditemukan
52,51,-,belum ada data yang ditemukan,belum ada data yang ditemukan
53,52,-,belum ada data yang ditemukan,belum ada data yang ditemukan
54,53,-,belum ada data yang ditemukan,belum ada data yang ditemukan
55,54,-,belum ada data yang ditemukan,belum ada data yang ditemukan
56,55,-,belum ada data yang ditemukan,belum ada data yang ditemukan
57,56,-,belum ada data yang ditemukan,belum ada data yang ditemukan
58,57,-,belum ada data yang ditemukan,belum ada data yang ditemukan
59,58,-,belum ada data yang ditemukan,belum ada data yang ditemukan
60,59,-,belum ada data yang ditemukan,belum ada data yang ditemukan
61,60,-,belum ada data yang ditemukan,belum ada data yang ditemukan
62,61,-,belum ada data yang ditemukan,belum ada data yang ditemukan
63,62,-,belum ada data yang ditemukan,belum ada data yang ditemukan
64,63,-,belum ada data yang ditemukan,belum ada data yang ditemukan
65,64,-,belum ada data yang ditemukan,belum ada data yang ditemukan
66,65,-,belum ada data yang ditemukan,belum ada data yang ditemukan
67,66,-,belum ada data yang ditemukan,belum ada data yang ditemukan
68,67,-,belum ada data yang ditemukan,belum ada data yang ditemukan
69,68,-,belum ada data yang ditemukan,belum ada data yang ditemukan
70,69,-,belum ada data yang ditemukan,belum ada data yang ditemukan
71,70,-,belum ada data yang ditemukan,belum ada data yang ditemukan
72,71,-,belum ada data yang ditemukan,belum ada data yang ditemukan
73,72,-,belum ada data yang ditemukan,belum ada data yang ditemukan
74,73,-,belum ada data yang ditemukan,belum ada data yang ditemukan
75,74,-,belum ada data yang ditemukan,belum ada data yang ditemukan
76,75,-,belum ada data yang ditemukan,belum ada data yang ditemukan
77,76,-,belum ada data yang ditemukan,belum ada data yang ditemukan
78,77,-,belum ada data yang ditemukan,belum ada data yang ditemukan
79,78,-,belum ada data yang ditemukan,belum ada data yang ditemukan
80,79,-,belum ada data yang ditemukan,belum ada data yang ditemukan
81,80,-,belum ada data yang ditemukan,belum ada data yang ditemukan
82,81,-,belum ada data yang ditemukan,belum ada data yang ditemukan
83,82,-,belum ada data yang ditemukan,belum ada data yang ditemukan
84,83,-,belum ada data yang ditemukan,belum ada data yang ditemukan
85,84,-,belum ada data yang ditemukan,belum ada data yang ditemukan
86,85,Anak-anak (Di bawah 12 tahun),Kontraindikasi,"Efek pencahar stimulan antrakuinon terlalu keras untuk saluran cerna anak, berisiko menyebabkan diare parah, kram perut, dan dehidrasi akut."
87,86,-,belum ada data yang ditemukan,belum ada data yang ditemukan
88,87,-,belum ada data yang ditemukan,belum ada data yang ditemukan
89,88,-,belum ada data yang ditemukan,belum ada data yang ditemukan
90,89,-,belum ada data yang ditemukan,belum ada data yang ditemukan
91,90,-,belum ada data yang ditemukan,belum ada data yang ditemukan
92,91,Ibu Hamil,Kontraindikasi,Getah (enzim papain) mentah pada ekstrak daun pepaya memiliki sifat oksitosik yang memicu kontraksi rahim prematur dan berpotensi menyebabkan keguguran.
93,92,-,belum ada data yang ditemukan,belum ada data yang ditemukan
94,93,-,belum ada data yang ditemukan,belum ada data yang ditemukan
95,94,-,belum ada data yang ditemukan,belum ada data yang ditemukan
96,95,-,belum ada data yang ditemukan,belum ada data yang ditemukan
97,96,-,belum ada data yang ditemukan,belum ada data yang ditemukan
98,97,-,belum ada data yang ditemukan,belum ada data yang ditemukan
99,98,-,belum ada data yang ditemukan,belum ada data yang ditemukan
100,99,-,belum ada data yang ditemukan,belum ada data yang ditemukan
101,100,-,belum ada data yang ditemukan,belum ada data yang ditemukan
102,101,Ibu Hamil,Kontraindikasi,Sifat pengencer darah (antiplatelet) yang kuat dari ekstrak Ginkgo berisiko memicu pendarahan berlebih saat proses persalinan.
103,101,Anak-anak,Peringatan Keras,Biji ginkgo mentah atau ekstrak yang tidak distandarisasi mengandung ginkgotoxin yang dapat memicu kejang mematikan pada anak-anak.
104,102,-,belum ada data yang ditemukan,belum ada data yang ditemukan
105,103,-,belum ada data yang ditemukan,belum ada data yang ditemukan
106,104,-,belum ada data yang ditemukan,belum ada data yang ditemukan
107,105,-,belum ada data yang ditemukan,belum ada data yang ditemukan
108,106,-,belum ada data yang ditemukan,belum ada data yang ditemukan
109,107,-,belum ada data yang ditemukan,belum ada data yang ditemukan
110,108,Anak-anak (Di bawah 12 tahun),Peringatan / Kontraindikasi,Otoritas medis seperti MHRA (UK) melarang konsumsi Echinacea oral pada anak di bawah 12 tahun karena tingginya risiko reaksi alergi parah (anafilaksis) yang melebihi manfaatnya.
111,109,-,belum ada data yang ditemukan,belum ada data yang ditemukan
112,110,-,belum ada data yang ditemukan,belum ada data yang ditemukan
113,111,-,belum ada data yang ditemukan,belum ada data yang ditemukan
114,112,Ibu Hamil & Menyusui,Kontraindikasi,"Zat aktifnya dapat menembus sawar plasenta dan ASI. Dilaporkan menyebabkan kolik, letargi, dan iritabilitas pada bayi yang disusui, serta risiko teratogenik pada janin."
115,113,-,belum ada data yang ditemukan,belum ada data yang ditemukan
116,114,-,belum ada data yang ditemukan,belum ada data yang ditemukan
117,115,-,belum ada data yang ditemukan,belum ada data yang ditemukan
118,116,-,belum ada data yang ditemukan,belum ada data yang ditemukan
119,117,-,belum ada data yang ditemukan,belum ada data yang ditemukan
120,118,-,belum ada data yang ditemukan,belum ada data yang ditemukan
121,119,-,belum ada data yang ditemukan,belum ada data yang ditemukan
122,120,-,belum ada data yang ditemukan,belum ada data yang ditemukan
123,121,-,belum ada data yang ditemukan,belum ada data yang ditemukan
124,122,Ibu Hamil,Peringatan,"Konsumsi ekstrak berlebih (EGCG) dapat menghambat penyerapan asam folat, yang sangat krusial di trimester pertama untuk mencegah cacat tabung saraf (neural tube defect) pada janin."
125,123,-,belum ada data yang ditemukan,belum ada data yang ditemukan
126,124,-,belum ada data yang ditemukan,belum ada data yang ditemukan
127,125,-,belum ada data yang ditemukan,belum ada data yang ditemukan
128,126,-,belum ada data yang ditemukan,belum ada data yang ditemukan
129,127,-,belum ada data yang ditemukan,belum ada data yang ditemukan
130,128,-,belum ada data yang ditemukan,belum ada data yang ditemukan
131,129,-,belum ada data yang ditemukan,belum ada data yang ditemukan
132,130,-,belum ada data yang ditemukan,belum ada data yang ditemukan
133,131,-,belum ada data yang ditemukan,belum ada data yang ditemukan
134,132,-,belum ada data yang ditemukan,belum ada data yang ditemukan
135,133,-,belum ada data yang ditemukan,belum ada data yang ditemukan
136,134,-,belum ada data yang ditemukan,belum ada data yang ditemukan
137,135,-,belum ada data yang ditemukan,belum ada data yang ditemukan
138,136,-,belum ada data yang ditemukan,belum ada data yang ditemukan
139,137,-,belum ada data yang ditemukan,belum ada data yang ditemukan
140,138,-,belum ada data yang ditemukan,belum ada data yang ditemukan
141,139,-,belum ada data yang ditemukan,belum ada data yang ditemukan
142,140,-,belum ada data yang ditemukan,belum ada data yang ditemukan
143,141,-,belum ada data yang ditemukan,belum ada data yang ditemukan
144,142,-,belum ada data yang ditemukan,belum ada data yang ditemukan
145,143,-,belum ada data yang ditemukan,belum ada data yang ditemukan
146,144,-,belum ada data yang ditemukan,belum ada data yang ditemukan
147,145,-,belum ada data yang ditemukan,belum ada data yang ditemukan
148,146,-,belum ada data yang ditemukan,belum ada data yang ditemukan
149,147,-,belum ada data yang ditemukan,belum ada data yang ditemukan
150,148,-,belum ada data yang ditemukan,belum ada data yang ditemukan
151,149,-,belum ada data yang ditemukan,belum ada data yang ditemukan
152,150,-,belum ada data yang ditemukan,belum ada data yang ditemukan
153,151,-,belum ada data yang ditemukan,belum ada data yang ditemukan
154,152,-,belum ada data yang ditemukan,belum ada data yang ditemukan
155,153,-,belum ada data yang ditemukan,belum ada data yang ditemukan
156,154,-,belum ada data yang ditemukan,belum ada data yang ditemukan
157,155,Ibu Hamil,Kontraindikasi,"Sebagai laksatif stimulan, senna dapat memicu refleks kontraksi panggul yang berisiko menstimulasi otot rahim dan memicu persalinan prematur."
158,155,Anak-anak (Di bawah 12 tahun),Kontraindikasi Mayor,"Sangat berbahaya dan dapat memicu dehidrasi ekstrem, kram hebat, serta hilangnya elektrolit yang fatal pada tubuh anak kecil."
159,156,-,belum ada data yang ditemukan,belum ada data yang ditemukan
160,157,-,belum ada data yang ditemukan,belum ada data yang ditemukan
161,158,-,belum ada data yang ditemukan,belum ada data yang ditemukan
162,159,-,belum ada data yang ditemukan,belum ada data yang ditemukan
163,160,-,belum ada data yang ditemukan,belum ada data yang ditemukan
164,161,-,belum ada data yang ditemukan,belum ada data yang ditemukan
165,162,-,belum ada data yang ditemukan,belum ada data yang ditemukan
166,163,-,belum ada data yang ditemukan,belum ada data yang ditemukan
167,164,-,belum ada data yang ditemukan,belum ada data yang ditemukan
168,165,-,belum ada data yang ditemukan,belum ada data yang ditemukan
169,166,-,belum ada data yang ditemukan,belum ada data yang ditemukan
170,167,-,belum ada data yang ditemukan,belum ada data yang ditemukan
171,168,-,belum ada data yang ditemukan,belum ada data yang ditemukan
172,169,-,belum ada data yang ditemukan,belum ada data yang ditemukan
173,170,-,belum ada data yang ditemukan,belum ada data yang ditemukan
174,171,-,belum ada data yang ditemukan,belum ada data yang ditemukan
175,172,-,belum ada data yang ditemukan,belum ada data yang ditemukan
176,173,-,belum ada data yang ditemukan,belum ada data yang ditemukan
177,174,-,belum ada data yang ditemukan,belum ada data yang ditemukan
178,175,-,belum ada data yang ditemukan,belum ada data yang ditemukan
179,176,-,belum ada data yang ditemukan,belum ada data yang ditemukan
180,177,-,belum ada data yang ditemukan,belum ada data yang ditemukan
181,178,-,belum ada data yang ditemukan,belum ada data yang ditemukan
182,179,-,belum ada data yang ditemukan,belum ada data yang ditemukan
183,180,-,belum ada data yang ditemukan,belum ada data yang ditemukan
184,181,-,belum ada data yang ditemukan,belum ada data yang ditemukan
185,182,-,belum ada data yang ditemukan,belum ada data yang ditemukan
186,183,-,belum ada data yang ditemukan,belum ada data yang ditemukan
187,184,-,belum ada data yang ditemukan,belum ada data yang ditemukan
188,185,Ibu Hamil,Kontraindikasi Fatal,"Konsumsi ekstrak akar manis tinggi glycyrrhizin selama kehamilan secara klinis terbukti mengganggu perkembangan saraf kognitif janin, memicu lahir prematur, dan menurunkan IQ anak kelak."
189,186,-,belum ada data yang ditemukan,belum ada data yang ditemukan
190,187,-,belum ada data yang ditemukan,belum ada data yang ditemukan
191,188,-,belum ada data yang ditemukan,belum ada data yang ditemukan
192,189,-,belum ada data yang ditemukan,belum ada data yang ditemukan
193,190,-,belum ada data yang ditemukan,belum ada data yang ditemukan
194,191,-,belum ada data yang ditemukan,belum ada data yang ditemukan
195,192,-,belum ada data yang ditemukan,belum ada data yang ditemukan
196,193,-,belum ada data yang ditemukan,belum ada data yang ditemukan
197,194,-,belum ada data yang ditemukan,belum ada data yang ditemukan
198,195,-,belum ada data yang ditemukan,belum ada data yang ditemukan
199,196,-,belum ada data yang ditemukan,belum ada data yang ditemukan
200,197,-,belum ada data yang ditemukan,belum ada data yang ditemukan
201,198,-,belum ada data yang ditemukan,belum ada data yang ditemukan
202,199,-,belum ada data yang ditemukan,belum ada data yang ditemukan
203,200,-,belum ada data yang ditemukan,belum ada data yang ditemukan
204,201,Ibu Hamil & Menyusui,Kontraindikasi,Dapat memengaruhi tonus otot rahim. Senyawa aktif kavalactones dapat diekskresikan melalui ASI dan menyebabkan efek sedasi (lemas/lesu) yang berbahaya pada bayi.
205,202,-,belum ada data yang ditemukan,belum ada data yang ditemukan
206,203,-,belum ada data yang ditemukan,belum ada data yang ditemukan
207,204,-,belum ada data yang ditemukan,belum ada data yang ditemukan
208,205,-,belum ada data yang ditemukan,belum ada data yang ditemukan
209,206,-,belum ada data yang ditemukan,belum ada data yang ditemukan
210,207,-,belum ada data yang ditemukan,belum ada data yang ditemukan
211,208,-,belum ada data yang ditemukan,belum ada data yang ditemukan
212,209,-,belum ada data yang ditemukan,belum ada data yang ditemukan
213,210,-,belum ada data yang ditemukan,belum ada data yang ditemukan
214,211,-,belum ada data yang ditemukan,belum ada data yang ditemukan
215,212,-,belum ada data yang ditemukan,belum ada data yang ditemukan
216,213,-,belum ada data yang ditemukan,belum ada data yang ditemukan
217,214,-,belum ada data yang ditemukan,belum ada data yang ditemukan
218,215,Ibu Hamil,Peringatan,"Konsumsi teh chamomile dalam batas wajar (1 cangkir) aman. Namun, ekstrak dosis tinggi atau minyak atsiri murni memiliki sifat emmenagogue ringan yang dapat memicu kontraksi panggul/rahim."
219,216,-,belum ada data yang ditemukan,belum ada data yang ditemukan
220,217,-,belum ada data yang ditemukan,belum ada data yang ditemukan
221,218,-,belum ada data yang ditemukan,belum ada data yang ditemukan
222,219,-,belum ada data yang ditemukan,belum ada data yang ditemukan
223,220,-,belum ada data yang ditemukan,belum ada data yang ditemukan
224,221,-,belum ada data yang ditemukan,belum ada data yang ditemukan
225,222,-,belum ada data yang ditemukan,belum ada data yang ditemukan
226,223,-,belum ada data yang ditemukan,belum ada data yang ditemukan
227,224,-,belum ada data yang ditemukan,belum ada data yang ditemukan
228,225,-,belum ada data yang ditemukan,belum ada data yang ditemukan
229,226,-,belum ada data yang ditemukan,belum ada data yang ditemukan
230,227,-,belum ada data yang ditemukan,belum ada data yang ditemukan
231,228,-,belum ada data yang ditemukan,belum ada data yang ditemukan
232,229,-,belum ada data yang ditemukan,belum ada data yang ditemukan
233,230,Ibu Hamil,Kontraindikasi,"Sebagai laksatif stimulan yang sangat kuat, senna dapat memicu refleks kontraksi panggul yang berisiko menstimulasi otot rahim dan memicu persalinan prematur atau keguguran."
234,230,Anak-anak (Di bawah 12 tahun),Kontraindikasi Mayor,"Efek pencahar antrakuinon terlalu ekstrem untuk usus anak-anak, berisiko tinggi memicu kram perut akut, diare berdarah, dan dehidrasi masif."
235,231,-,belum ada data yang ditemukan,belum ada data yang ditemukan
236,232,-,belum ada data yang ditemukan,belum ada data yang ditemukan
237,233,-,belum ada data yang ditemukan,belum ada data yang ditemukan
238,234,-,belum ada data yang ditemukan,belum ada data yang ditemukan
239,235,-,belum ada data yang ditemukan,belum ada data yang ditemukan
240,236,-,belum ada data yang ditemukan,belum ada data yang ditemukan
241,237,-,belum ada data yang ditemukan,belum ada data yang ditemukan
242,238,-,belum ada data yang ditemukan,belum ada data yang ditemukan
243,239,-,belum ada data yang ditemukan,belum ada data yang ditemukan
244,240,-,belum ada data yang ditemukan,belum ada data yang ditemukan
245,241,-,belum ada data yang ditemukan,belum ada data yang ditemukan
246,242,-,belum ada data yang ditemukan,belum ada data yang ditemukan
247,243,-,belum ada data yang ditemukan,belum ada data yang ditemukan
248,244,-,belum ada data yang ditemukan,belum ada data yang ditemukan
249,245,Ibu Hamil,Kontraindikasi,"Beberapa studi toksikologi menunjukkan komponen ginsenosida memiliki efek androgenik dan embriotoksik pada hewan uji, yang berpotensi memicu cacat bawaan (teratogenik) pada janin."
250,246,-,belum ada data yang ditemukan,belum ada data yang ditemukan
251,247,-,belum ada data yang ditemukan,belum ada data yang ditemukan
252,248,-,belum ada data yang ditemukan,belum ada data yang ditemukan
253,249,-,belum ada data yang ditemukan,belum ada data yang ditemukan
254,250,-,belum ada data yang ditemukan,belum ada data yang ditemukan
255,251,-,belum ada data yang ditemukan,belum ada data yang ditemukan
256,252,-,belum ada data yang ditemukan,belum ada data yang ditemukan
257,253,-,belum ada data yang ditemukan,belum ada data yang ditemukan
258,254,-,belum ada data yang ditemukan,belum ada data yang ditemukan
259,255,-,belum ada data yang ditemukan,belum ada data yang ditemukan
260,256,-,belum ada data yang ditemukan,belum ada data yang ditemukan
261,257,-,belum ada data yang ditemukan,belum ada data yang ditemukan
262,258,-,belum ada data yang ditemukan,belum ada data yang ditemukan
263,259,-,belum ada data yang ditemukan,belum ada data yang ditemukan
264,260,Ibu Hamil,Peringatan Keras (Batas Dosis),Asupan kafein di atas 200 mg per hari selama kehamilan dikaitkan kuat secara klinis dengan peningkatan risiko keguguran dan melahirkan bayi dengan berat badan rendah (BBLR).
265,261,-,belum ada data yang ditemukan,belum ada data yang ditemukan
266,262,-,belum ada data yang ditemukan,belum ada data yang ditemukan
267,263,-,belum ada data yang ditemukan,belum ada data yang ditemukan
268,264,-,belum ada data yang ditemukan,belum ada data yang ditemukan
269,265,-,belum ada data yang ditemukan,belum ada data yang ditemukan
270,266,-,belum ada data yang ditemukan,belum ada data yang ditemukan
271,267,-,belum ada data yang ditemukan,belum ada data yang ditemukan
272,268,-,belum ada data yang ditemukan,belum ada data yang ditemukan
273,269,-,belum ada data yang ditemukan,belum ada data yang ditemukan
274,270,-,belum ada data yang ditemukan,belum ada data yang ditemukan
275,271,-,belum ada data yang ditemukan,belum ada data yang ditemukan
276,272,-,belum ada data yang ditemukan,belum ada data yang ditemukan
277,273,-,belum ada data yang ditemukan,belum ada data yang ditemukan
278,274,-,belum ada data yang ditemukan,belum ada data yang ditemukan
279,275,Ibu Hamil & Menyusui,Peringatan,"Kurangnya studi keamanan klinis. Potensi efek depresi sistem saraf pusat pada janin atau transfer molekul sedatif melalui ASI kepada bayi tidak dapat disingkirkan, sehingga sebaiknya dihindari."
280,276,-,belum ada data yang ditemukan,belum ada data yang ditemukan
281,277,-,belum ada data yang ditemukan,belum ada data yang ditemukan
282,278,-,belum ada data yang ditemukan,belum ada data yang ditemukan
283,279,-,belum ada data yang ditemukan,belum ada data yang ditemukan
284,280,-,belum ada data yang ditemukan,belum ada data yang ditemukan
285,281,-,belum ada data yang ditemukan,belum ada data yang ditemukan
286,282,-,belum ada data yang ditemukan,belum ada data yang ditemukan
287,283,-,belum ada data yang ditemukan,belum ada data yang ditemukan
288,284,-,belum ada data yang ditemukan,belum ada data yang ditemukan
289,285,-,belum ada data yang ditemukan,belum ada data yang ditemukan
290,286,-,belum ada data yang ditemukan,belum ada data yang ditemukan
291,287,-,belum ada data yang ditemukan,belum ada data yang ditemukan
292,288,-,belum ada data yang ditemukan,belum ada data yang ditemukan
293,289,-,belum ada data yang ditemukan,belum ada data yang ditemukan
294,290,Ibu Hamil,Kontraindikasi Fatal,Telah lama digunakan secara tradisional di pengobatan Ayurveda sebagai abortifacient (penggugur kandungan). Memiliki efek spasmogenik kuat yang memicu keguguran pada trimester awal.
295,291,-,belum ada data yang ditemukan,belum ada data yang ditemukan
296,292,-,belum ada data yang ditemukan,belum ada data yang ditemukan
297,293,-,belum ada data yang ditemukan,belum ada data yang ditemukan
298,294,-,belum ada data yang ditemukan,belum ada data yang ditemukan
299,295,-,belum ada data yang ditemukan,belum ada data yang ditemukan
300,296,-,belum ada data yang ditemukan,belum ada data yang ditemukan
301,297,-,belum ada data yang ditemukan,belum ada data yang ditemukan
302,298,-,belum ada data yang ditemukan,belum ada data yang ditemukan
303,299,-,belum ada data yang ditemukan,belum ada data yang ditemukan
304,300,-,belum ada data yang ditemukan,belum ada data yang ditemukan
305,301,Ibu Hamil & Menyusui,Kontraindikasi Fatal,Menstimulasi otot rahim dan dapat menyebabkan peningkatan detak jantung janin secara berbahaya. Ekskresi senyawa alkaloid melalui ASI juga sangat toksik bagi bayi.
306,301,Anak-anak,Kontraindikasi Mayor,"Sistem saraf anak sangat rentan terhadap efek stimulan efedrin, berisiko memicu kejang, takikardia akut, hingga henti jantung."
307,302,-,belum ada data yang ditemukan,belum ada data yang ditemukan
308,303,-,belum ada data yang ditemukan,belum ada data yang ditemukan
309,304,-,belum ada data yang ditemukan,belum ada data yang ditemukan
310,305,-,belum ada data yang ditemukan,belum ada data yang ditemukan
311,306,-,belum ada data yang ditemukan,belum ada data yang ditemukan
312,307,-,belum ada data yang ditemukan,belum ada data yang ditemukan
313,308,-,belum ada data yang ditemukan,belum ada data yang ditemukan
314,309,-,belum ada data yang ditemukan,belum ada data yang ditemukan
315,310,-,belum ada data yang ditemukan,belum ada data yang ditemukan
316,311,-,belum ada data yang ditemukan,belum ada data yang ditemukan
317,312,-,belum ada data yang ditemukan,belum ada data yang ditemukan
318,313,-,belum ada data yang ditemukan,belum ada data yang ditemukan
319,314,-,belum ada data yang ditemukan,belum ada data yang ditemukan
320,315,Ibu Hamil & Anak-anak,Peringatan Keras,"Kadar kafein yang sangat tinggi (jauh di atas biji kopi) berisiko memicu berat badan lahir rendah, prematuritas pada janin, serta gangguan tidur dan perilaku akut pada anak-anak."
321,316,-,belum ada data yang ditemukan,belum ada data yang ditemukan
322,317,-,belum ada data yang ditemukan,belum ada data yang ditemukan
323,318,-,belum ada data yang ditemukan,belum ada data yang ditemukan
324,319,-,belum ada data yang ditemukan,belum ada data yang ditemukan
325,320,-,belum ada data yang ditemukan,belum ada data yang ditemukan
326,321,-,belum ada data yang ditemukan,belum ada data yang ditemukan
327,322,-,belum ada data yang ditemukan,belum ada data yang ditemukan
328,323,-,belum ada data yang ditemukan,belum ada data yang ditemukan
329,324,-,belum ada data yang ditemukan,belum ada data yang ditemukan
330,325,-,belum ada data yang ditemukan,belum ada data yang ditemukan
331,326,-,belum ada data yang ditemukan,belum ada data yang ditemukan
332,327,-,belum ada data yang ditemukan,belum ada data yang ditemukan
333,328,-,belum ada data yang ditemukan,belum ada data yang ditemukan
334,329,-,belum ada data yang ditemukan,belum ada data yang ditemukan
335,330,Ibu Hamil & Menyusui,Kontraindikasi,"Efek simpatomimetik dari senyawa synephrine berisiko menyempitkan pembuluh darah plasenta, yang sangat mengganggu aliran darah dan nutrisi penting untuk perkembangan janin."
336,331,-,belum ada data yang ditemukan,belum ada data yang ditemukan
337,332,-,belum ada data yang ditemukan,belum ada data yang ditemukan
338,333,-,belum ada data yang ditemukan,belum ada data yang ditemukan
339,334,-,belum ada data yang ditemukan,belum ada data yang ditemukan
340,335,-,belum ada data yang ditemukan,belum ada data yang ditemukan
341,336,-,belum ada data yang ditemukan,belum ada data yang ditemukan
342,337,-,belum ada data yang ditemukan,belum ada data yang ditemukan
343,338,-,belum ada data yang ditemukan,belum ada data yang ditemukan
344,339,-,belum ada data yang ditemukan,belum ada data yang ditemukan
345,340,-,belum ada data yang ditemukan,belum ada data yang ditemukan
346,341,-,belum ada data yang ditemukan,belum ada data yang ditemukan
347,342,-,belum ada data yang ditemukan,belum ada data yang ditemukan
348,343,-,belum ada data yang ditemukan,belum ada data yang ditemukan
349,344,-,belum ada data yang ditemukan,belum ada data yang ditemukan
350,345,-,belum ada data yang ditemukan,belum ada data yang ditemukan
351,346,-,belum ada data yang ditemukan,belum ada data yang ditemukan
352,347,-,belum ada data yang ditemukan,belum ada data yang ditemukan
353,348,-,belum ada data yang ditemukan,belum ada data yang ditemukan
354,349,-,belum ada data yang ditemukan,belum ada data yang ditemukan
355,350,Ibu Hamil & Anak-anak,Kontraindikasi Mayor,"Aktivitas anti-androgenik sangat mengganggu perkembangan organ seksual dan keseimbangan hormonal janin (terutama janin laki-laki), serta dapat mengacaukan masa pubertas pada anak-anak/remaja."
356,351,-,belum ada data yang ditemukan,belum ada data yang ditemukan
357,352,-,belum ada data yang ditemukan,belum ada data yang ditemukan
358,353,-,belum ada data yang ditemukan,belum ada data yang ditemukan
359,354,-,belum ada data yang ditemukan,belum ada data yang ditemukan
360,355,-,belum ada data yang ditemukan,belum ada data yang ditemukan
361,356,-,belum ada data yang ditemukan,belum ada data yang ditemukan
362,357,-,belum ada data yang ditemukan,belum ada data yang ditemukan
363,358,-,belum ada data yang ditemukan,belum ada data yang ditemukan
364,359,-,belum ada data yang ditemukan,belum ada data yang ditemukan
