id,herbal_id,ringkasan,resep_rumahan,keamanan_praktis
37,37,"Serai adalah tanaman herbal yang bermanfaat untuk Nyeri haid, Detoksifikasi.",Rebus batang serai memar sebagai teh.,Status untuk Ibu Hamil: AMAN.
38,38,"Cengkeh adalah tanaman herbal yang bermanfaat untuk Sakit gigi, Bau mulut.",Tumbuk/selipkan cengkeh di gigi sakit.,Status untuk Ibu Hamil: AMAN.
39,39,"Pala adalah tanaman herbal yang bermanfaat untuk Susah tidur (Insomnia), Masuk angin bayi.",Parut sedikit biji pala ke susu hangat.,Status untuk Ibu Hamil: WASPADA.
40,40,"Kapulaga adalah tanaman herbal yang bermanfaat untuk Batuk/Gatal tenggorokan, Kembung.",Rebus atau kunyah biji kapulaga.,Status untuk Ibu Hamil: AMAN.
41,41,"Ketumbar adalah tanaman herbal yang bermanfaat untuk Kolesterol jahat, Jantung.","Rendam biji ketumbar semalaman, minum airnya.",Status untuk Ibu Hamil: AMAN.
42,42,"Lada Hitam adalah tanaman herbal yang bermanfaat untuk Booster khasiat jamu lain, Menghangatkan.",Campur sedikit lada hitam ke jamu kunyit/makanan.,Status untuk Ibu Hamil: AMAN.
43,43,"Jeruk Nipis adalah tanaman herbal yang bermanfaat untuk Batuk berdahak, Diet/Lemak.",Peras jeruk nipis campur kecap/madu.,Status untuk Ibu Hamil: AMAN.
44,44,"Belimbing Wuluh adalah tanaman herbal yang bermanfaat untuk Darah tinggi, Jerawat.",Rebus buahnya. (AWAS GINJAL).,Status untuk Ibu Hamil: AMAN.
45,45,"Asam Jawa adalah tanaman herbal yang bermanfaat untuk Sembelit, Nyeri haid.","Larutkan asam jawa, buat jamu kunyit asam.",Status untuk Ibu Hamil: AMAN.
46,46,"Jati Belanda adalah tanaman herbal yang bermanfaat untuk Pelangsing, Perut buncit.",Rebus 7 lembar daun jati belanda.,Status untuk Ibu Hamil: WASPADA.
47,47,"Kemuning adalah tanaman herbal yang bermanfaat untuk Pelangsing, Haid tidak lancar.",Rebus daun kemuning (sering campur jati belanda).,Status untuk Ibu Hamil: WASPADA.
48,48,"Bangle adalah tanaman herbal yang bermanfaat untuk Mengecilkan perut (pasca melahirkan), Lemak perut.",Parut untuk bobok perut.,Status untuk Ibu Hamil: KONTRAINDIKASI.
49,49,"Temu Kunci adalah tanaman herbal yang bermanfaat untuk Keputihan, Rapat wanita.",Sayur bening atau parut peras.,Status untuk Ibu Hamil: AMAN.
50,50,"Temu Ireng adalah tanaman herbal yang bermanfaat untuk Cacingan, Nafsu makan.",Parut peras rimpang (pahit).,Status untuk Ibu Hamil: WASPADA.
51,51,"Temu Putih adalah tanaman herbal yang bermanfaat untuk Kanker/Kista, Nyeri haid.",Rebus rimpang kering.,Status untuk Ibu Hamil: KONTRAINDIKASI.
52,52,"Daun Dewa adalah tanaman herbal yang bermanfaat untuk Sirkulasi darah (Stroke), Memar/Bengkak.",Lalap daun segar atau tumbuk untuk memar.,Status untuk Ibu Hamil: WASPADA.
53,53,"Sambung Nyawa adalah tanaman herbal yang bermanfaat untuk Kolesterol, Darah tinggi.",Lalap daun segar.,Status untuk Ibu Hamil: AMAN.
54,54,"Beluntas adalah tanaman herbal yang bermanfaat untuk Bau badan/mulut, Keputihan.",Rebus daun atau kukus untuk lalap.,Status untuk Ibu Hamil: AMAN.
55,55,"Tapak Liman adalah tanaman herbal yang bermanfaat untuk Demam/Flu, Keputihan.",Rebus seluruh tanaman.,Status untuk Ibu Hamil: WASPADA.
56,56,"Patikan Kebo adalah tanaman herbal yang bermanfaat untuk Sesak napas (Asma), Diare.",Rebus herba (jangan mentah).,Status untuk Ibu Hamil: WASPADA.
57,57,"Anting-anting adalah tanaman herbal yang bermanfaat untuk Diare/Disentri, Mimisan.",Rebus akar kering.,Status untuk Ibu Hamil: AMAN.
58,58,"Songgolangit adalah tanaman herbal yang bermanfaat untuk Asam urat, Rematik.",Rebus tanaman kering.,Status untuk Ibu Hamil: AMAN.
59,59,"Sidaguri adalah tanaman herbal yang bermanfaat untuk Asam urat, Rematik.",Rebus akar sidaguri.,Status untuk Ibu Hamil: KONTRAINDIKASI.
60,60,"Rumput Mutiara adalah tanaman herbal yang bermanfaat untuk Kanker/Tumor, Radang panggul.",Rebus herba kering.,Status untuk Ibu Hamil: WASPADA.
61,61,"Sembung adalah tanaman herbal yang bermanfaat untuk Kembung/Masuk angin, Nyeri haid.",Rebus daun sembung.,Status untuk Ibu Hamil: WASPADA.
62,62,"Miana adalah tanaman herbal yang bermanfaat untuk Batuk anak, Wasir.",Peras daun dengan air hangat dan madu.,Status untuk Ibu Hamil: AMAN.
63,63,"Daun Jinten adalah tanaman herbal yang bermanfaat untuk Batuk/Sakit tenggorokan, Sariawan.",Kunyah daun segar.,Status untuk Ibu Hamil: AMAN.
64,64,"Daun Katuk adalah tanaman herbal yang bermanfaat untuk Pelancar ASI, Osteoporosis.",Sayur bening (harus matang).,Status untuk Ibu Hamil: AMAN (Matang).
65,65,"Torbangun adalah tanaman herbal yang bermanfaat untuk Pelancar ASI (Kuat), Membersihkan rahim nifas.",Masak sup/gulai bangun-bangun.,Status untuk Ibu Hamil: AMAN.
66,66,"Saga Rambat adalah tanaman herbal yang bermanfaat untuk Sariawan, Batuk kering.",Kunyah daun (JANGAN BIJI).,Status untuk Ibu Hamil: AMAN (Daun).
67,67,"Pulosari adalah tanaman herbal yang bermanfaat untuk Demam, Nafsu makan.",Rebus kulit pulosari dengan adas.,Status untuk Ibu Hamil: AMAN.
68,68,"Kayu Rapet adalah tanaman herbal yang bermanfaat untuk Rapat wanita, Keputihan.",Rebus kulit kayu untuk minum/cebok.,Status untuk Ibu Hamil: WASPADA.
69,69,"Majakani adalah tanaman herbal yang bermanfaat untuk Rapat wanita, Keputihan.",Rebus untuk basuh/cebok.,Status untuk Ibu Hamil: WASPADA.
70,70,"Pinang adalah tanaman herbal yang bermanfaat untuk Cacingan, Kuatkan gigi.",Parut biji pinang (sepat/mual).,Status untuk Ibu Hamil: KONTRAINDIKASI.
71,71,"Gambir adalah tanaman herbal yang bermanfaat untuk Diare mampet, Luka bakar.",Seduh sepotong kecil gambir.,Status untuk Ibu Hamil: AMAN.
72,72,"Bidara adalah tanaman herbal yang bermanfaat untuk Susah tidur, Luka/Jerawat.",Tumbuk daun untuk mandi/minum.,Status untuk Ibu Hamil: AMAN.
73,73,"Bidara Upas adalah tanaman herbal yang bermanfaat untuk Radang tenggorokan, Difteri.","Parut umbi, peras airnya.",Status untuk Ibu Hamil: AMAN.
74,74,"Pulai adalah tanaman herbal yang bermanfaat untuk Malaria, Demam.",Rebus kulit batang (pahit).,Status untuk Ibu Hamil: KONTRAINDIKASI.
75,75,"Alang-alang adalah tanaman herbal yang bermanfaat untuk Panas dalam, Susah pipis.",Rebus akar alang-alang.,Status untuk Ibu Hamil: AMAN.
76,76,"Akar Wangi adalah tanaman herbal yang bermanfaat untuk Bau mulut, Penenang.",Rebus akar untuk kumur.,Status untuk Ibu Hamil: AMAN.
77,77,"Kina adalah tanaman herbal yang bermanfaat untuk Malaria, Kram kaki.",Rebus kulit kina (sangat pahit).,Status untuk Ibu Hamil: WASPADA.
78,78,"Ginseng Jawa adalah tanaman herbal yang bermanfaat untuk Stamina, Haid tidak lancar.",Rebus akar ginseng jawa.,Status untuk Ibu Hamil: AMAN.
79,79,"Tabat Barito adalah tanaman herbal yang bermanfaat untuk Rapat wanita, Keputihan.",Rebus daun tabat barito.,Status untuk Ibu Hamil: KONTRAINDIKASI.
80,80,"Urang Aring adalah tanaman herbal yang bermanfaat untuk Penyubur rambut, Uban.","Tumbuk daun, oles ke kepala.",Status untuk Ibu Hamil: AMAN (Luar).
81,81,"Bunga Telang adalah tanaman herbal yang bermanfaat untuk Mata jernih, Antioksidan.",Seduh bunga (teh biru).,Status untuk Ibu Hamil: AMAN.
82,82,"Bunga Sepatu adalah tanaman herbal yang bermanfaat untuk Demam (kompres), Rambut.",Remas daun dengan air sampai berlendir.,Status untuk Ibu Hamil: KONTRAINDIKASI.
83,83,"Turi adalah tanaman herbal yang bermanfaat untuk Sariawan, Radang tenggorokan.",Rebus kulit batang untuk kumur.,Status untuk Ibu Hamil: AMAN.
84,84,"Gandarusa adalah tanaman herbal yang bermanfaat untuk KB Pria, Pegal linu.",Rebus daun gandarusa.,Status untuk Ibu Hamil: AMAN.
85,85,"Klembak adalah tanaman herbal yang bermanfaat untuk Sembelit parah, Detoks usus.",Seduh serbuk klembak (dikit).,Status untuk Ibu Hamil: KONTRAINDIKASI.
86,86,"Buah Makasar adalah tanaman herbal yang bermanfaat untuk Disentri, Malaria.",Biji digiling masuk kapsul (pahit/racun).,Status untuk Ibu Hamil: KONTRAINDIKASI.
87,87,"Anyang-anyang adalah tanaman herbal yang bermanfaat untuk Anyang-anyangan, Demam.",Rebus buah/kulit kayu.,Status untuk Ibu Hamil: AMAN.
88,88,"Sembukan adalah tanaman herbal yang bermanfaat untuk Kembung parah, Maag.",Kukus daun untuk lalap.,Status untuk Ibu Hamil: AMAN.
89,89,"Jarak Pagar adalah tanaman herbal yang bermanfaat untuk Sakit gigi, Luka.",Teteskan getah (JANGAN BIJI).,Status untuk Ibu Hamil: KONTRAINDIKASI.
90,90,"Daun Afrika adalah tanaman herbal yang bermanfaat untuk Diabetes, Kolesterol.",Kunyah daun segar atau rebus.,Status untuk Ibu Hamil: KONTRAINDIKASI.
91,91,"Daun Pepaya adalah tanaman herbal yang bermanfaat untuk Trombosit DBD, Nafsu makan.",Jus daun pepaya saring.,Status untuk Ibu Hamil: KONTRAINDIKASI.
92,92,"Alpukat adalah tanaman herbal yang bermanfaat untuk Darah tinggi, Sakit pinggang.",Rebus daun alpukat.,Status untuk Ibu Hamil: AMAN.
93,93,"Kedawung adalah tanaman herbal yang bermanfaat untuk Sakit perut mulas, Diare.","Sangrai biji, makan isinya.",Status untuk Ibu Hamil: AMAN.
94,94,"Klabet adalah tanaman herbal yang bermanfaat untuk Pelancar ASI, Diabetes.","Rendam biji klabet, minum airnya.",Status untuk Ibu Hamil: KONTRAINDIKASI.
95,95,"Binahong adalah tanaman herbal yang bermanfaat untuk Luka operasi, Maag.",Rebus daun binahong.,Status untuk Ibu Hamil: AMAN.
96,96,"Cemara Kipas adalah tanaman herbal yang bermanfaat untuk Kebotakan, Rambut hitam.",Rendam alkohol oles kepala.,Status untuk Ibu Hamil: KONTRAINDIKASI.
97,97,"Daun Sendok adalah tanaman herbal yang bermanfaat untuk Pelancar pipis, Batu ginjal.",Rebus seluruh tanaman.,Status untuk Ibu Hamil: AMAN.
98,98,"Landep adalah tanaman herbal yang bermanfaat untuk Sakit gigi, Rematik.",Tumbuk daun tempelkan.,Status untuk Ibu Hamil: AMAN.
99,99,"Jarak Bali adalah tanaman herbal yang bermanfaat untuk Luka, Bengkak.",Oleskan getah (JANGAN BIJI/DAUN).,Status untuk Ibu Hamil: KONTRAINDIKASI.
100,100,"Wortel adalah tanaman herbal yang bermanfaat untuk Mata, Kanker.",Jus wortel murni.,Status untuk Ibu Hamil: AMAN.
101,101,Biasa digunakan untuk bumbu masak dan meringankan kembung perut.,Seduh biji adas dengan air panas.,Aman untuk dikonsumsi dalam jumlah wajar.
102,102,Tanaman akar yang kuat untuk menurunkan tekanan darah.,Rebus akar dan minum airnya.,"Hati-hati, dosis tinggi menyebabkan toksisitas."
103,103,"Biji yang mengembang dalam air, bagus untuk pencernaan dan panas dalam.",Rendam dalam air es atau sirup.,Sangat aman dikonsumsi harian.
104,104,Lalapan segar penyegar mulut dan penurun bau badan.,Makan mentah bersama lauk.,Aman untuk semua umur.
105,105,"Memberikan sensasi dingin, melegakan pernapasan.",Seduh daun segar bersama teh.,"Aman, awas iritasi lambung jika berlebih."
106,106,"Bumbu dapur utama, kaya antioksidan dan pereda demam bayi.",Iris dan campur minyak telon untuk pijat bayi.,Aman dikonsumsi harian.
107,107,Tanaman hias penyerap polusi udara.,Digunakan di luar ruangan atau rebusan daun (terbatas).,Bisa beracun jika tertelan mentah dalam jumlah banyak.
108,108,Ampuh meredakan demam dan luka memar.,Tumbuk halus dan tempel pada dahi atau luka.,Aman untuk pemakaian luar.
109,109,Bunga harum untuk relaksasi dan aromaterapi.,Rebus bunga atau gunakan minyak atsirinya.,Aman untuk aromaterapi.
110,110,Bunga dengan antioksidan tinggi untuk kulit.,Buat air mawar untuk toner wajah.,Aman untuk kulit luar dan teh.
111,111,Aroma penenang untuk mengatasi stres dan insomnia.,Campurkan pada seduhan teh.,Aman dikonsumsi.
112,112,Biji dan akar teratai baik untuk mengatasi diare dan disentri.,Rebus akar atau makan bijinya.,Aman dikonsumsi.
113,113,Bunga untuk mengatasi masalah kulit.,Seduh bunga kering untuk teh relaksasi.,"Getahnya beracun, hindari kontak langsung."
114,114,Biji bunga matahari kaya vitamin E.,Sangrai biji untuk camilan sehat.,Sangat aman.
115,115,Membantu menghentikan pendarahan luar.,Tumbuk daun dan tempelkan.,Gunakan hanya untuk pemakaian luar.
116,116,Mengatasi radang dan nyeri.,Rebus akar atau bunga.,Gunakan secukupnya.
117,117,"Kaya antioksidan, sering dijadikan teh herbal.",Seduh pucuk daun muda.,Aman dikonsumsi.
118,118,Menurunkan kadar gula darah dan asam urat.,Rebus daun mangga muda.,Aman dalam dosis sedang.
119,119,Bagus untuk meredakan panas dalam.,Rebus daun segar.,Aman.
120,120,Buah kaya air yang melancarkan pencernaan.,Makan buahnya langsung.,Aman.
121,121,Daun pucuknya baik untuk lalapan pereda radang usus.,Makan pucuk muda segar.,Getah batang beracun.
122,122,Sangat baik untuk pertumbuhan dan pereda panas dalam.,Rebus menjadi bubur.,Sangat aman.
123,123,Sumber fitoestrogen yang baik untuk wanita.,Olah menjadi susu atau tempe.,Aman.
124,124,Kaya kalsium dan baik untuk rambut.,Sangrai dan taburkan di makanan.,Aman.
125,125,Minyak kemiri penyubur rambut.,"Bakar, tumbuk, oleskan minyak ke rambut.",Hanya untuk pemakaian luar.
126,126,Air kelapa adalah isotonik alami pencegah dehidrasi.,Minum air kelapa muda.,Aman.
127,127,Gula aren lebih sehat dan indeks glikemik rendah.,Gunakan sebagai pengganti gula pasir.,Aman.
128,128,Bagus untuk obat sariawan tradisional.,Ambil nira nipah.,Aman.
129,129,Pewangi makanan dan penurun darah tinggi.,Rebus daun pandan wangi untuk teh.,Aman.
130,130,Pewarna hijau alami makanan penambah selera.,Tumbuk dan peras airnya.,Aman.
131,131,Minyak esensial pereda masuk angin.,Oleskan minyak ke perut.,"Aman untuk luar, jangan ditelan."
132,132,Membantu atasi diare (kulit batang).,Rebus kulit batang.,Konsumsi secukupnya.
133,133,"Biji mahoni sangat pahit, ampuh untuk diabetes.","Kunyah sedikit biji, minum air putih.",Konsumsi dibatasi karena efek samping.
134,134,Daun sengon untuk pakan ternak dan kulit untuk obat luar.,Tumbuk dan oleskan pada kurap.,Pemakaian luar.
135,135,Daun muda jati untuk pewarna merah alami.,Rebus daun muda.,Aman.
136,136,Akar beringin untuk asma tradisional.,Rebus akar gantungnya.,Konsultasi dokter.
137,137,"Biji karet beracun, tapi bisa diolah untuk obat tertentu jika ahli.",Jangan dikonsumsi sembarangan.,Biji mentah beracun (sianida).
138,138,Kopi hitam murni penambah energi dan antioksidan.,Seduh tanpa gula.,Awas asam lambung.
139,139,Teh hijau kaya polifenol untuk diet dan jantung.,Seduh teh jangan terlalu pekat.,Aman.
140,140,Kakao murni sangat baik untuk kesehatan kardiovaskular.,Seduh bubuk kakao murni.,Aman.
141,141,Pewangi masakan dan penenang saraf.,Campurkan ekstrak vanili pada minuman hangat.,Aman.
142,142,"Rempah pedas penghangat tubuh, stamina pria.",Tumbuk campur jamu.,Aman dosis wajar.
143,143,Meringankan asma dan batuk berdahak.,Rebus dan minum airnya.,Aman.
144,144,Aromaterapi menenangkan dan antiseptik.,Bakar kayu atau gunakan minyaknya.,Pemakaian luar.
145,145,Kayu mahal untuk relaksasi pernapasan.,Gunakan dupa gaharu.,Pemakaian luar.
146,146,Kacang kenari menyehatkan jantung.,Makan langsung atau panggang.,Aman.
147,147,Jus delima sangat ampuh untuk vitalitas dan antioksidan.,Jus buah delima merah.,Aman.
148,148,Buah tin kaya serat untuk pencernaan.,Makan buah tin segar/kering.,Aman.
149,149,Minyak zaitun lemak sehat terbaik.,Minum 1 sdm atau untuk salad.,Aman.
150,150,Kurma mengembalikan energi seketika.,Makan ganjil setiap hari.,"Aman, awas gula tinggi jika berlebih."
151,151,Biji anggur mengandung antioksidan OPC kuat.,Kunyah biji atau ekstraknya.,Aman.
152,152,Makan apel cegah penyakit jantung dan pencernaan.,Makan beserta kulitnya (cuci bersih).,Aman.
153,153,Daun penambah aroma yang melancarkan pencernaan.,Iris tipis pada masakan.,Aman.
154,154,Kaya vitamin C dan baik untuk diet lambung.,Makan buah segar.,Aman.
155,155,Jus jeruk manis tingkatkan imun tubuh.,Peras untuk minuman.,Aman.
156,156,Air lemon pagi hari detoks liver.,Peras di air hangat pagi hari.,"Aman, awas perih lambung jika kosong."
157,157,Rebusan pecut kuda atasi radang tenggorokan.,Rebus daun dan bunga.,Aman dosis wajar.
158,158,Getah patah tulang mengobati kutil.,Teteskan pada kutil.,Getah sangat iritatif pada mata!
159,159,Akar pacing baik untuk obat kencing manis.,Rebus akar pacing.,Aman.
160,160,Membantu atasi masalah saluran kemih.,Rebus seluruh tanaman.,Aman.
161,161,"Mirip meniran hijau, tapi lebih kuat untuk radang ginjal.",Rebus dan saring.,Awas tensi turun.
162,162,Akar bunga pukul empat atasi radang amandel.,Rebus akar.,Dosis harus tepat.
163,163,Kaya likopen pembasmi sel kanker prostat.,Rebus atau kukus tomat sebentar.,Aman.
164,164,Terong bantu turunkan kolesterol darah.,Kukus terong.,Aman.
165,165,Cabai merah lancarkan sirkulasi darah dan pereda nyeri (capsaicin).,Gunakan sebagai bumbu atau koyo capsaicin.,Aman.
166,166,Vitamin C tinggi dan atasi hidung tersumbat.,Makan bersama makanan.,Awas iritasi lambung parah.
167,167,"Antioksidan kuat, cegah penuaan sel.",Makan segar di salad.,Aman.
168,168,Bawang bombay kaya quercetin penekan alergi.,Iris dan makan mentah atau masak.,Aman.
169,169,Sangat baik untuk sirkulasi darah dan prebiotik.,Masak di sup.,Aman.
170,170,Meningkatkan imun dan mencegah flu.,Taburkan di masakan hangat.,Aman.
171,171,Ginseng Peru pendongkrak energi dan stamina.,Seduh bubuk maca.,Aman.
172,172,Dipercaya tingkatkan testosteron pria secara alami.,Seduh ekstrak tribulus.,Aman dosis wajar.
173,173,Penenang herbal kuat mengatasi kecemasan berat.,Rebus akar kava.,Awas kerusakan hati jangka panjang.
174,174,Biji guarana sumber kafein alami sangat tinggi.,Campur bubuk di minuman.,Awas jantung berdebar.
175,175,Pengganti gula nol kalori untuk diabetes.,Seduh daun stevia.,Aman.
176,176,Minyak jarak mengatasi sembelit kronis.,Minum 1 sendok teh castor oil.,Jangan kunyah bijinya (Sangat Beracun!).
177,177,Dipercaya turunkan asam urat di pengobatan tradisional kuno.,Sangat dibatasi karena toksik.,"Sangat beracun, hanya untuk ahli."
178,178,Daun kemangi hutan pereda batuk berdahak kuat.,Rebus daun.,Aman.
179,179,Ginseng terkuat untuk adaptogen dan stamina total.,Rebus akar atau makan ekstrak.,Awas hipertensi.
180,180,Ginseng India penurun hormon stres (kortisol).,Seduh bubuk ashwagandha.,Aman.
